NOX,CLC,AREA,NCELLS
1,5,99969032.833086,1
1,20,99969032.833086,1
*,29,99969032.833086,1
*,13,99969032.833086,1
1,4,99969032.833086,1
1,44,99969032.833086,1
1,18,99969032.833086,1
*,40,99969032.833086,1
1,11,199938065.666172,2
*,16,199938065.666172,2
*,20,199938065.666172,2
*,15,199938065.666172,2
1,23,299907098.499258,3
1,14,299907098.499258,3
1,1,299907098.499258,3
1,40,299907098.499258,3
*,39,299907098.499258,3
*,26,299907098.499258,3
*,12,399876131.332344,4
0,48,399876131.332344,4
*,25,399876131.332344,4
1,21,499845164.165430,5
*,2,499845164.165430,5
*,24,699783229.831602,7
*,28,699783229.831602,7
1,3,699783229.831602,7
*,41,699783229.831602,7
0,38,899721295.497774,9
*,18,999690328.330860,10
*,36,1099659361.163946,11
0,5,1099659361.163946,11
0,8,1399566459.663204,14
1,12,1499535492.496290,15
*,21,1599504525.329377,16
1,2,1899411623.828635,19
0,9,2299287755.160979,23
0,33,2499225820.827151,25
1,128,2899101952.159495,29
0,6,3099040017.825667,31
0,43,3298978083.491839,33
*,23,3398947116.324925,34
0,10,3398947116.324925,34
*,31,4298668411.822700,43
0,19,4298668411.822700,43
0,4,5098420674.487388,51
0,37,5198389707.320474,52
*,27,5798203904.318990,58
0,42,6298049068.484420,63
0,14,7697615528.147624,77
0,1,7797584560.980710,78
0,30,7897553593.813796,79
0,7,9197151020.643915,92
0,11,12596098136.968840,126
0,39,12896005235.468098,129
0,35,13295881366.800442,133
*,32,14595478793.630560,146
0,40,14595478793.630560,146
0,34,15495200089.128334,155
0,3,29390895652.927525,294
0,22,31890121473.754723,319
0,15,39887644100.401543,399
0,16,43486529282.392570,435
0,17,56082627419.361168,561
0,31,87572872761.782669,876
0,28,109366121919.395000,1094
0,13,111965316773.055190,1120
0,36,114264604528.216130,1143
0,41,128060331059.181730,1281
0,2,167748037093.920750,1678
0,27,174845838425.070800,1749
0,*,198438530173.682250,1985
0,32,210934659277.819670,2110
0,26,213233947032.980960,2133
0,20,245923820769.404450,2460
0,21,268716760255.351100,2688
0,29,298407563006.774410,2985
0,25,306005209502.087650,3061
0,18,430866531510.590640,4310
0,23,578820700103.550290,5790
*,44,667593201259.369630,6678
0,24,816746998246.399410,8170
0,44,818746378903.062010,8190
0,12,1213124213429.620600,12135
*,*,1983285642375.112800,19839
0,128,4939469912279.987300,49410
*,128,17600747858731.934000,176062