SO2,CLC,AREA,NCELLS
2,40,99969032.833086,1
1,4,99969032.833086,1
*,40,99969032.833086,1
*,13,99969032.833086,1
1,42,99969032.833086,1
1,37,99969032.833086,1
1,6,99969032.833086,1
2,11,99969032.833086,1
3,10,99969032.833086,1
3,32,99969032.833086,1
2,4,99969032.833086,1
*,29,99969032.833086,1
3,2,99969032.833086,1
2,26,99969032.833086,1
1,27,99969032.833086,1
1,35,199938065.666172,2
1,10,199938065.666172,2
2,7,199938065.666172,2
*,20,199938065.666172,2
3,29,199938065.666172,2
*,15,199938065.666172,2
2,32,199938065.666172,2
3,1,199938065.666172,2
1,11,199938065.666172,2
*,16,199938065.666172,2
1,31,199938065.666172,2
2,12,199938065.666172,2
2,29,299907098.499258,3
2,1,299907098.499258,3
1,15,299907098.499258,3
*,39,299907098.499258,3
1,1,299907098.499258,3
3,12,299907098.499258,3
2,23,299907098.499258,3
2,13,299907098.499258,3
*,26,299907098.499258,3
*,12,399876131.332344,4
0,48,399876131.332344,4
2,3,399876131.332344,4
1,8,399876131.332344,4
*,25,399876131.332344,4
1,9,399876131.332344,4
2,44,499845164.165430,5
*,2,499845164.165430,5
2,21,499845164.165430,5
2,20,499845164.165430,5
1,7,599814196.998516,6
2,128,599814196.998516,6
1,28,599814196.998516,6
*,41,699783229.831602,7
2,2,699783229.831602,7
*,28,699783229.831602,7
*,24,699783229.831602,7
0,38,899721295.497774,9
1,41,899721295.497774,9
1,17,899721295.497774,9
*,18,999690328.330860,10
0,8,999690328.330860,10
*,36,1099659361.163946,11
0,5,1199628393.997032,12
1,3,1199628393.997032,12
1,25,1299597426.830118,13
1,26,1399566459.663204,14
1,16,1499535492.496290,15
*,21,1599504525.329377,16
1,18,1799442590.995549,18
0,9,1899411623.828635,19
1,32,2199318722.327893,22
0,33,2499225820.827151,25
1,24,2499225820.827151,25
1,13,2799132919.326409,28
1,29,2899101952.159495,29
1,21,2899101952.159495,29
0,6,2999070984.992581,30
0,10,3099040017.825667,31
1,23,3298978083.491839,33
0,43,3298978083.491839,33
*,23,3398947116.324925,34
1,2,3698854214.824183,37
1,20,4098730346.156527,41
*,31,4298668411.822700,43
0,19,4298668411.822700,43
0,4,4998451641.654302,50
0,37,5098420674.487388,51
1,44,5498296805.819732,55
*,27,5798203904.318990,58
0,42,6198080035.651334,62
0,1,7297739396.815280,73
1,128,7697615528.147624,77
0,30,7897553593.813796,79
0,14,7997522626.646882,80
0,7,8397398757.979226,84
1,12,10196841348.974775,102
0,11,12496129104.135754,125
0,39,12896005235.468098,129
0,35,13095943301.134270,131
*,32,14595478793.630560,146
0,40,14795416859.296732,148
0,34,15495200089.128334,155
0,3,28491174357.429733,285
0,22,31890121473.754723,319
0,15,39587737001.902290,396
0,16,41986993789.896309,420
0,17,55182906123.863411,552
0,31,87372934696.116501,874
0,28,108766307722.396500,1088
0,13,108866276755.229580,1089
0,36,114264604528.216130,1143
0,41,127160609763.683980,1272
0,2,165148842240.260160,1652
0,27,174745869392.237700,1748
0,*,198438530173.682250,1985
0,32,208435433456.992190,2085
0,26,211734411540.484470,2118
0,20,241425214291.914980,2415
0,21,265817658303.191220,2659
0,29,295008615890.450070,2951
0,25,304705612075.257750,3048
0,18,429167057952.428470,4293
0,23,575521722020.057010,5757
*,44,667593201259.369630,6678
0,44,812848205965.907350,8131
0,24,814247772425.571170,8145
0,12,1203927062408.983900,12043
*,*,1983285642375.112800,19839
0,128,4934071584507.004900,49356
*,128,17600747858731.934000,176062